symbol,company,close,change,percent
LOPI,"{'symbol': 'LOPI', 'name': 'Logisticsplus International Tbk.', 'logo': 'https://s3.goapi.io/logo/LOPI.jpg'}",49,2,4.26
MKTR,"{'symbol': 'MKTR', 'name': 'Menthobi Karyatama Raya Tbk.', 'logo': 'https://s3.goapi.io/logo/MKTR.jpg'}",123,5,4.24
PTSP,"{'symbol': 'PTSP', 'name': 'Pioneerindo Gourmet International Tbk.', 'logo': 'https://s3.goapi.io/logo/PTSP.jpg'}",865,35,4.22
AEGS,"{'symbol': 'AEGS', 'name': 'Anugerah Spareparts Sejahtera Tbk.', 'logo': 'https://s3.goapi.io/logo/AEGS.jpg'}",28,1,3.7
GEMA,"{'symbol': 'GEMA', 'name': 'Gema Grahasarana Tbk.', 'logo': 'https://s3.goapi.io/logo/GEMA.jpg'}",288,10,3.6
UNVR,"{'symbol': 'UNVR', 'name': 'Unilever Indonesia Tbk.', 'logo': 'https://s3.goapi.io/logo/UNVR.jpg'}",3170,110,3.59
TALF,"{'symbol': 'TALF', 'name': 'Tunas Alfin Tbk.', 'logo': 'https://s3.goapi.io/logo/TALF.jpg'}",336,10,3.07
DWGL,"{'symbol': 'DWGL', 'name': 'Dwi Guna Laksana Tbk.', 'logo': 'https://s3.goapi.io/logo/DWGL.jpg'}",102,3,3.03
TRUS,"{'symbol': 'TRUS', 'name': 'Trust Finance Indonesia Tbk', 'logo': 'https://s3.goapi.io/logo/TRUS.jpg'}",412,12,3.0
PURI,"{'symbol': 'PURI', 'name': 'Puri Global Sukses Tbk.', 'logo': 'https://s3.goapi.io/logo/PURI.jpg'}",167,4,2.45
IBOS,"{'symbol': 'IBOS', 'name': 'Indo Boga Sukses Tbk.', 'logo': 'https://s3.goapi.io/logo/IBOS.jpg'}",252,6,2.44
IDEA,"{'symbol': 'IDEA', 'name': 'Idea Indonesia Akademi Tbk.', 'logo': 'https://s3.goapi.io/logo/IDEA.jpg'}",43,1,2.38
SURI,"{'symbol': 'SURI', 'name': 'Maja Agung Latexindo Tbk.', 'logo': 'https://s3.goapi.io/logo/SURI.jpg'}",130,3,2.36
APII,"{'symbol': 'APII', 'name': 'Arita Prima Indonesia Tbk.', 'logo': 'https://s3.goapi.io/logo/APII.jpg'}",175,4,2.34
LABA,"{'symbol': 'LABA', 'name': 'Ladangbaja Murni Tbk.', 'logo': 'https://s3.goapi.io/logo/LABA.jpg'}",133,3,2.31
NASI,"{'symbol': 'NASI', 'name': 'Wahana Inti Makmur Tbk.', 'logo': 'https://s3.goapi.io/logo/NASI.jpg'}",180,4,2.27
MSJA,"{'symbol': 'MSJA', 'name': 'Multi Spunindo Jaya Tbk.', 'logo': 'https://s3.goapi.io/logo/MSJA.jpg'}",272,6,2.26
TRIS,"{'symbol': 'TRIS', 'name': 'Trisula International Tbk.', 'logo': 'https://s3.goapi.io/logo/TRIS.jpg'}",188,4,2.17
AMMN,"{'symbol': 'AMMN', 'name': 'Amman Mineral Internasional Tbk.', 'logo': 'https://s3.goapi.io/logo/AMMN.jpg'}",12075,250,2.11
CMRY,"{'symbol': 'CMRY', 'name': 'Cisarua Mountain Dairy Tbk.', 'logo': 'https://s3.goapi.io/logo/CMRY.jpg'}",4990,100,2.04
CMNP,"{'symbol': 'CMNP', 'name': 'Citra Marga Nusaphala Persada Tbk.', 'logo': 'https://s3.goapi.io/logo/CMNP.jpg'}",1530,30,2.0
TFAS,"{'symbol': 'TFAS', 'name': 'Telefast Indonesia Tbk.', 'logo': 'https://s3.goapi.io/logo/TFAS.jpg'}",105,2,1.94
KOCI,"{'symbol': 'KOCI', 'name': 'Kokoh Exa Nusantara Tbk.', 'logo': 'https://s3.goapi.io/logo/KOCI.jpg'}",53,1,1.92
ELIT,"{'symbol': 'ELIT', 'name': 'Data Sinergitama Jaya Tbk.', 'logo': 'https://s3.goapi.io/logo/ELIT.jpg'}",107,2,1.9
CSRA,"{'symbol': 'CSRA', 'name': 'Cisadane Sawit Raya Tbk.', 'logo': 'https://s3.goapi.io/logo/CSRA.jpg'}",432,8,1.89
LPPS,"{'symbol': 'LPPS', 'name': 'Lenox Pasifik Investama Tbk.', 'logo': 'https://s3.goapi.io/logo/LPPS.jpg'}",55,1,1.85
PTPS,"{'symbol': 'PTPS', 'name': 'Pulau Subur Tbk.', 'logo': 'https://s3.goapi.io/logo/PTPS.jpg'}",111,2,1.83
INTD,"{'symbol': 'INTD', 'name': 'Inter Delta Tbk', 'logo': 'https://s3.goapi.io/logo/INTD.jpg'}",112,2,1.82
BSML,"{'symbol': 'BSML', 'name': 'Bintang Samudera Mandiri Lines Tbk.', 'logo': 'https://s3.goapi.io/logo/BSML.jpg'}",114,2,1.79
DEWA,"{'symbol': 'DEWA', 'name': 'Darma Henwa Tbk', 'logo': 'https://s3.goapi.io/logo/DEWA.jpg'}",58,1,1.75
DGNS,"{'symbol': 'DGNS', 'name': 'Diagnos Laboratorium Utama Tbk.', 'logo': 'https://s3.goapi.io/logo/DGNS.jpg'}",232,4,1.75
BAIK,"{'symbol': 'BAIK', 'name': 'Bersama Mencapai Puncak Tbk.', 'logo': 'https://s3.goapi.io/logo/BAIK.jpg'}",59,1,1.72
KJEN,"{'symbol': 'KJEN', 'name': 'Krida Jaringan Nusantara Tbk.', 'logo': 'https://s3.goapi.io/logo/KJEN.jpg'}",61,1,1.67
MHKI,"{'symbol': 'MHKI', 'name': 'Multi Hanna Kreasindo Tbk.', 'logo': 'https://s3.goapi.io/logo/MHKI.jpg'}",122,2,1.67
